"離婚人數","國籍別總計","外國籍","本國籍","大陸港澳"
"106年 10月/ 桃園市 / 計","1,056","39","954","63"
"106年 10月/ 桃園市 / 男","528","5","518","5"
"106年 10月/ 桃園市 / 女","528","34","436","58"
"106年 10月/ 臺中市 / 計","1,078","36","994","48"
"106年 10月/ 臺中市 / 男","539","5","534","-"
"106年 10月/ 臺中市 / 女","539","31","460","48"
"106年 10月/ 臺南市 / 計","670","28","611","31"
"106年 10月/ 臺南市 / 男","335","1","332","2"
"106年 10月/ 臺南市 / 女","335","27","279","29"
"106年 10月/ 高雄市 / 計","1,024","44","919","61"
"106年 10月/ 高雄市 / 男","512","6","503","3"
"106年 10月/ 高雄市 / 女","512","38","416","58"
"106年 10月/ 宜蘭縣 / 計","156","9","138","9"
"106年 10月/ 宜蘭縣 / 男","78","2","76","-"
"106年 10月/ 宜蘭縣 / 女","78","7","62","9"
"106年 10月/ 新竹縣 / 計","194","6","176","12"
"106年 10月/ 新竹縣 / 男","97","-","96","1"
"106年 10月/ 新竹縣 / 女","97","6","80","11"
"106年 10月/ 苗栗縣 / 計","184","16","160","8"
"106年 10月/ 苗栗縣 / 男","92","2","90","-"
"106年 10月/ 苗栗縣 / 女","92","14","70","8"
"106年 10月/ 彰化縣 / 計","456","19","416","21"
"106年 10月/ 彰化縣 / 男","228","3","224","1"
"106年 10月/ 彰化縣 / 女","228","16","192","20"
"106年 10月/ 南投縣 / 計","190","9","172","9"
"106年 10月/ 南投縣 / 男","95","-","95","-"
"106年 10月/ 南投縣 / 女","95","9","77","9"
"106年 10月/ 雲林縣 / 計","212","11","186","15"
"106年 10月/ 雲林縣 / 男","106","-","106","-"
"106年 10月/ 雲林縣 / 女","106","11","80","15"
"106年 10月/ 嘉義縣 / 計","172","19","146","7"
"106年 10月/ 嘉義縣 / 男","86","-","86","-"
"106年 10月/ 嘉義縣 / 女","86","19","60","7"
"106年 10月/ 屏東縣 / 計","326","17","287","22"
"106年 10月/ 屏東縣 / 男","163","3","157","3"
"106年 10月/ 屏東縣 / 女","163","14","130","19"
"106年 10月/ 臺東縣 / 計","124","6","112","6"
"106年 10月/ 臺東縣 / 男","62","-","62","-"
"106年 10月/ 臺東縣 / 女","62","6","50","6"
"106年 10月/ 花蓮縣 / 計","166","6","156","4"
"106年 10月/ 花蓮縣 / 男","83","1","81","1"
"106年 10月/ 花蓮縣 / 女","83","5","75","3"
"106年 10月/ 澎湖縣 / 計","52","1","50","1"
"106年 10月/ 澎湖縣 / 男","26","-","26","-"
"106年 10月/ 澎湖縣 / 女","26","1","24","1"
"106年 10月/ 基隆市 / 計","160","4","149","7"
"106年 10月/ 基隆市 / 男","80","1","79","-"
"106年 10月/ 基隆市 / 女","80","3","70","7"
"106年 10月/ 新竹市 / 計","150","6","139","5"
"106年 10月/ 新竹市 / 男","75","1","74","-"
"106年 10月/ 新竹市 / 女","75","5","65","5"
"106年 10月/ 嘉義市 / 計","116","7","104","5"
"106年 10月/ 嘉義市 / 男","58","1","56","1"
"106年 10月/ 嘉義市 / 女","58","6","48","4"
"106年 10月/ 金門縣 / 計","34","1","28","5"
"106年 10月/ 金門縣 / 男","17","-","17","-"
"106年 10月/ 金門縣 / 女","17","1","11","5"
"106年 10月/ 連江縣 / 計","8","-","7","1"
"106年 10月/ 連江縣 / 男","4","-","4","-"
"106年 10月/ 連江縣 / 女","4","-","3","1"
"106年 11月/ 區域別總計 / 計","9,262","407","8,335","520"
"106年 11月/ 區域別總計 / 男","4,631","77","4,526","28"
"106年 11月/ 區域別總計 / 女","4,631","330","3,809","492"
"106年 11月/ 新北市 / 計","1,632","66","1,455","111"
"106年 11月/ 新北市 / 男","816","16","793","7"
"106年 11月/ 新北市 / 女","816","50","662","104"
"106年 11月/ 臺北市 / 計","970","38","880","52"
"106年 11月/ 臺北市 / 男","485","19","460","6"
"106年 11月/ 臺北市 / 女","485","19","420","46"
"106年 11月/ 桃園市 / 計","1,016","50","898","68"
"106年 11月/ 桃園市 / 男","508","6","494","8"
"106年 11月/ 桃園市 / 女","508","44","404","60"
"106年 11月/ 臺中市 / 計","1,136","40","1,050","46"
"106年 11月/ 臺中市 / 男","568","9","559","-"
"106年 11月/ 臺中市 / 女","568","31","491","46"
"106年 11月/ 臺南市 / 計","736","29","672","35"
"106年 11月/ 臺南市 / 男","368","3","364","1"
"106年 11月/ 臺南市 / 女","368","26","308","34"
"106年 11月/ 高雄市 / 計","1,044","45","938","61"
"106年 11月/ 高雄市 / 男","522","7","512","3"
"106年 11月/ 高雄市 / 女","522","38","426","58"
"106年 11月/ 宜蘭縣 / 計","190","8","175","7"
"106年 11月/ 宜蘭縣 / 男","95","1","94","-"
"106年 11月/ 宜蘭縣 / 女","95","7","81","7"
"106年 11月/ 新竹縣 / 計","208","11","185","12"
"106年 11月/ 新竹縣 / 男","104","1","103","-"
"106年 11月/ 新竹縣 / 女","104","10","82","12"
"106年 11月/ 苗栗縣 / 計","240","14","215","11"
"106年 11月/ 苗栗縣 / 男","120","2","118","-"
"106年 11月/ 苗栗縣 / 女","120","12","97","11"
"106年 11月/ 彰化縣 / 計","402","24","353","25"
"106年 11月/ 彰化縣 / 男","201","4","197","-"
"106年 11月/ 彰化縣 / 女","201","20","156","25"
"106年 11月/ 南投縣 / 計","158","4","144","10"
"106年 11月/ 南投縣 / 男","79","1","78","-"
"106年 11月/ 南投縣 / 女","79","3","66","10"
"106年 11月/ 雲林縣 / 計","236","13","206","17"
"106年 11月/ 雲林縣 / 男","118","-","118","-"
"106年 11月/ 雲林縣 / 女","118","13","88","17"
"106年 11月/ 嘉義縣 / 計","156","11","136","9"
"106年 11月/ 嘉義縣 / 男","78","-","78","-"
"106年 11月/ 嘉義縣 / 女","78","11","58","9"
"106年 11月/ 屏東縣 / 計","314","21","279","14"
"106年 11月/ 屏東縣 / 男","157","3","152","2"
"106年 11月/ 屏東縣 / 女","157","18","127","12"
"106年 11月/ 臺東縣 / 計","102","8","88","6"
"106年 11月/ 臺東縣 / 男","51","-","51","-"
"106年 11月/ 臺東縣 / 女","51","8","37","6"
"106年 11月/ 花蓮縣 / 計","166","5","156","5"
"106年 11月/ 花蓮縣 / 男","83","1","82","-"
"106年 11月/ 花蓮縣 / 女","83","4","74","5"
"106年 11月/ 澎湖縣 / 計","58","3","54","1"
"106年 11月/ 澎湖縣 / 男","29","-","29","-"
"106年 11月/ 澎湖縣 / 女","29","3","25","1"
"106年 11月/ 基隆市 / 計","180","9","161","10"
"106年 11月/ 基隆市 / 男","90","1","89","-"
"106年 11月/ 基隆市 / 女","90","8","72","10"
"106年 11月/ 新竹市 / 計","172","6","156","10"
"106年 11月/ 新竹市 / 男","86","2","83","1"
"106年 11月/ 新竹市 / 女","86","4","73","9"
"106年 11月/ 嘉義市 / 計","108","2","100","6"
"106年 11月/ 嘉義市 / 男","54","1","53","-"
"106年 11月/ 嘉義市 / 女","54","1","47","6"
"106年 11月/ 金門縣 / 計","36","-","32","4"
"106年 11月/ 金門縣 / 男","18","-","18","-"
"106年 11月/ 金門縣 / 女","18","-","14","4"
"106年 11月/ 連江縣 / 計","2","-","2","-"
"106年 11月/ 連江縣 / 男","1","-","1","-"
"106年 11月/ 連江縣 / 女","1","-","1","-"
"106年 12月/ 區域別總計 / 計","8,884","372","8,061","451"
"106年 12月/ 區域別總計 / 男","4,442","70","4,348","24"
"106年 12月/ 區域別總計 / 女","4,442","302","3,713","427"
"106年 12月/ 新北市 / 計","1,626","49","1,478","99"
"106年 12月/ 新北市 / 男","813","14","791","8"
"106年 12月/ 新北市 / 女","813","35","687","91"
"106年 12月/ 臺北市 / 計","966","39","868","59"
"106年 12月/ 臺北市 / 男","483","17","462","4"
"106年 12月/ 臺北市 / 女","483","22","406","55"
"106年 12月/ 桃園市 / 計","980","50","883","47"
"106年 12月/ 桃園市 / 男","490","5","483","2"
"106年 12月/ 桃園市 / 女","490","45","400","45"
"106年 12月/ 臺中市 / 計","1,056","28","977","51"
"106年 12月/ 臺中市 / 男","528","11","513","4"
"106年 12月/ 臺中市 / 女","528","17","464","47"
"106年 12月/ 臺南市 / 計","662","26","616","20"
"106年 12月/ 臺南市 / 男","331","3","327","1"
"106年 12月/ 臺南市 / 女","331","23","289","19"
"106年 12月/ 高雄市 / 計","1,088","42","989","57"
"106年 12月/ 高雄市 / 男","544","4","537","3"
"106年 12月/ 高雄市 / 女","544","38","452","54"
"106年 12月/ 宜蘭縣 / 計","136","5","127","4"
"106年 12月/ 宜蘭縣 / 男","68","-","68","-"
"106年 12月/ 宜蘭縣 / 女","68","5","59","4"
"106年 12月/ 新竹縣 / 計","186","7","168","11"
"106年 12月/ 新竹縣 / 男","93","-","93","-"
"106年 12月/ 新竹縣 / 女","93","7","75","11"
"106年 12月/ 苗栗縣 / 計","192","16","168","8"
"106年 12月/ 苗栗縣 / 男","96","1","95","-"
"106年 12月/ 苗栗縣 / 女","96","15","73","8"
"106年 12月/ 彰化縣 / 計","378","21","347","10"
"106年 12月/ 彰化縣 / 男","189","3","186","-"
"106年 12月/ 彰化縣 / 女","189","18","161","10"
"106年 12月/ 南投縣 / 計","192","9","174","9"
"106年 12月/ 南投縣 / 男","96","1","95","-"
"106年 12月/ 南投縣 / 女","96","8","79","9"
"106年 12月/ 雲林縣 / 計","226","20","197","9"
"106年 12月/ 雲林縣 / 男","113","2","111","-"
"106年 12月/ 雲林縣 / 女","113","18","86","9"
"106年 12月/ 嘉義縣 / 計","170","13","144","13"
"106年 12月/ 嘉義縣 / 男","85","1","84","-"
"106年 12月/ 嘉義縣 / 女","85","12","60","13"
"106年 12月/ 屏東縣 / 計","270","11","247","12"
"106年 12月/ 屏東縣 / 男","135","-","134","1"
"106年 12月/ 屏東縣 / 女","135","11","113","11"
"106年 12月/ 臺東縣 / 計","96","5","87","4"
"106年 12月/ 臺東縣 / 男","48","1","47","-"
"106年 12月/ 臺東縣 / 女","48","4","40","4"
"106年 12月/ 花蓮縣 / 計","152","7","139","6"
"106年 12月/ 花蓮縣 / 男","76","1","75","-"
"106年 12月/ 花蓮縣 / 女","76","6","64","6"
"106年 12月/ 澎湖縣 / 計","48","4","42","2"
"106年 12月/ 澎湖縣 / 男","24","3","21","-"
"106年 12月/ 澎湖縣 / 女","24","1","21","2"
"106年 12月/ 基隆市 / 計","154","6","137","11"
"106年 12月/ 基隆市 / 男","77","-","77","-"
"106年 12月/ 基隆市 / 女","77","6","60","11"
"106年 12月/ 新竹市 / 計","148","9","131","8"
"106年 12月/ 新竹市 / 男","74","2","72","-"
"106年 12月/ 新竹市 / 女","74","7","59","8"
"106年 12月/ 嘉義市 / 計","112","4","104","4"
"106年 12月/ 嘉義市 / 男","56","1","55","-"
"106年 12月/ 嘉義市 / 女","56","3","49","4"
"106年 12月/ 金門縣 / 計","44","1","38","5"
"106年 12月/ 金門縣 / 男","22","-","22","-"
"106年 12月/ 金門縣 / 女","22","1","16","5"
"106年 12月/ 連江縣 / 計","2","-","-","2"
"106年 12月/ 連江縣 / 男","1","-","-","1"
"106年 12月/ 連江縣 / 女","1","-","-","1"
"107年<br>(1月至1月)/ 區域別總計 / 計","8,768","341","7,935","492"
"107年<br>(1月至1月)/ 區域別總計 / 男","4,384","57","4,297","30"
"107年<br>(1月至1月)/ 區域別總計 / 女","4,384","284","3,638","462"
"107年<br>(1月至1月)/ 新北市 / 計","1,712","65","1,541","106"
"107年<br>(1月至1月)/ 新北市 / 男","856","15","829","12"
"107年<br>(1月至1月)/ 新北市 / 女","856","50","712","94"
"107年<br>(1月至1月)/ 臺北市 / 計","938","29","851","58"
"107年<br>(1月至1月)/ 臺北市 / 男","469","12","452","5"
"107年<br>(1月至1月)/ 臺北市 / 女","469","17","399","53"
"107年<br>(1月至1月)/ 桃園市 / 計","954","43","866","45"
"107年<br>(1月至1月)/ 桃園市 / 男","477","10","465","2"
"107年<br>(1月至1月)/ 桃園市 / 女","477","33","401","43"
"107年<br>(1月至1月)/ 臺中市 / 計","1,082","33","998","51"
"107年<br>(1月至1月)/ 臺中市 / 男","541","3","534","4"
"107年<br>(1月至1月)/ 臺中市 / 女","541","30","464","47"
"107年<br>(1月至1月)/ 臺南市 / 計","634","20","580","34"
"107年<br>(1月至1月)/ 臺南市 / 男","317","2","314","1"
"107年<br>(1月至1月)/ 臺南市 / 女","317","18","266","33"
"107年<br>(1月至1月)/ 高雄市 / 計","1,036","42","933","61"
"107年<br>(1月至1月)/ 高雄市 / 男","518","4","512","2"
"107年<br>(1月至1月)/ 高雄市 / 女","518","38","421","59"
"107年<br>(1月至1月)/ 宜蘭縣 / 計","144","9","124","11"
"107年<br>(1月至1月)/ 宜蘭縣 / 男","72","-","71","1"
"107年<br>(1月至1月)/ 宜蘭縣 / 女","72","9","53","10"
"107年<br>(1月至1月)/ 新竹縣 / 計","194","7","173","14"
"107年<br>(1月至1月)/ 新竹縣 / 男","97","4","93","-"
"107年<br>(1月至1月)/ 新竹縣 / 女","97","3","80","14"
"107年<br>(1月至1月)/ 苗栗縣 / 計","172","8","152","12"
"107年<br>(1月至1月)/ 苗栗縣 / 男","86","1","85","-"
"107年<br>(1月至1月)/ 苗栗縣 / 女","86","7","67","12"
"107年<br>(1月至1月)/ 彰化縣 / 計","368","22","331","15"
"107年<br>(1月至1月)/ 彰化縣 / 男","184","-","184","-"
"107年<br>(1月至1月)/ 彰化縣 / 女","184","22","147","15"
"107年<br>(1月至1月)/ 南投縣 / 計","158","5","145","8"
"107年<br>(1月至1月)/ 南投縣 / 男","79","-","77","2"
"107年<br>(1月至1月)/ 南投縣 / 女","79","5","68","6"
"107年<br>(1月至1月)/ 雲林縣 / 計","204","14","174","16"
"107年<br>(1月至1月)/ 雲林縣 / 男","102","1","100","1"
"107年<br>(1月至1月)/ 雲林縣 / 女","102","13","74","15"
"107年<br>(1月至1月)/ 嘉義縣 / 計","162","9","144","9"
"107年<br>(1月至1月)/ 嘉義縣 / 男","81","-","81","-"
"107年<br>(1月至1月)/ 嘉義縣 / 女","81","9","63","9"
"107年<br>(1月至1月)/ 屏東縣 / 計","314","14","285","15"
"107年<br>(1月至1月)/ 屏東縣 / 男","157","1","156","-"
"107年<br>(1月至1月)/ 屏東縣 / 女","157","13","129","15"
"107年<br>(1月至1月)/ 臺東縣 / 計","82","3","72","7"
"107年<br>(1月至1月)/ 臺東縣 / 男","41","-","41","-"
"107年<br>(1月至1月)/ 臺東縣 / 女","41","3","31","7"
"107年<br>(1月至1月)/ 花蓮縣 / 計","138","1","133","4"
"107年<br>(1月至1月)/ 花蓮縣 / 男","69","-","69","-"
"107年<br>(1月至1月)/ 花蓮縣 / 女","69","1","64","4"
"107年<br>(1月至1月)/ 澎湖縣 / 計","32","1","30","1"
"107年<br>(1月至1月)/ 澎湖縣 / 男","16","-","16","-"
"107年<br>(1月至1月)/ 澎湖縣 / 女","16","1","14","1"
"107年<br>(1月至1月)/ 基隆市 / 計","168","6","152","10"
"107年<br>(1月至1月)/ 基隆市 / 男","84","1","83","-"
"107年<br>(1月至1月)/ 基隆市 / 女","84","5","69","10"
"107年<br>(1月至1月)/ 新竹市 / 計","148","4","136","8"
"107年<br>(1月至1月)/ 新竹市 / 男","74","2","72","-"
"107年<br>(1月至1月)/ 新竹市 / 女","74","2","64","8"
"107年<br>(1月至1月)/ 嘉義市 / 計","88","4","81","3"
"107年<br>(1月至1月)/ 嘉義市 / 男","44","1","43","-"
"107年<br>(1月至1月)/ 嘉義市 / 女","44","3","38","3"
"107年<br>(1月至1月)/ 金門縣 / 計","34","2","28","4"
"107年<br>(1月至1月)/ 金門縣 / 男","17","-","17","-"
"107年<br>(1月至1月)/ 金門縣 / 女","17","2","11","4"
"107年<br>(1月至1月)/ 連江縣 / 計","6","-","6","-"
"107年<br>(1月至1月)/ 連江縣 / 男","3","-","3","-"
"107年<br>(1月至1月)/ 連江縣 / 女","3","-","3","-"
"107年 1月/ 區域別總計 / 計","8,768","341","7,935","492"
"107年 1月/ 區域別總計 / 男","4,384","57","4,297","30"
"107年 1月/ 區域別總計 / 女","4,384","284","3,638","462"
"107年 1月/ 新北市 / 計","1,712","65","1,541","106"
"107年 1月/ 新北市 / 男","856","15","829","12"
"107年 1月/ 新北市 / 女","856","50","712","94"
"107年 1月/ 臺北市 / 計","938","29","851","58"
"107年 1月/ 臺北市 / 男","469","12","452","5"
"107年 1月/ 臺北市 / 女","469","17","399","53"
"107年 1月/ 桃園市 / 計","954","43","866","45"
"107年 1月/ 桃園市 / 男","477","10","465","2"
"107年 1月/ 桃園市 / 女","477","33","401","43"
"107年 1月/ 臺中市 / 計","1,082","33","998","51"
"107年 1月/ 臺中市 / 男","541","3","534","4"
"107年 1月/ 臺中市 / 女","541","30","464","47"
"107年 1月/ 臺南市 / 計","634","20","580","34"
"107年 1月/ 臺南市 / 男","317","2","314","1"
"107年 1月/ 臺南市 / 女","317","18","266","33"
"107年 1月/ 高雄市 / 計","1,036","42","933","61"
"107年 1月/ 高雄市 / 男","518","4","512","2"
"107年 1月/ 高雄市 / 女","518","38","421","59"
"107年 1月/ 宜蘭縣 / 計","144","9","124","11"
"107年 1月/ 宜蘭縣 / 男","72","-","71","1"
"107年 1月/ 宜蘭縣 / 女","72","9","53","10"
"107年 1月/ 新竹縣 / 計","194","7","173","14"
"107年 1月/ 新竹縣 / 男","97","4","93","-"
"107年 1月/ 新竹縣 / 女","97","3","80","14"
"107年 1月/ 苗栗縣 / 計","172","8","152","12"
"107年 1月/ 苗栗縣 / 男","86","1","85","-"
"107年 1月/ 苗栗縣 / 女","86","7","67","12"
"107年 1月/ 彰化縣 / 計","368","22","331","15"
"107年 1月/ 彰化縣 / 男","184","-","184","-"
"107年 1月/ 彰化縣 / 女","184","22","147","15"
"107年 1月/ 南投縣 / 計","158","5","145","8"
"107年 1月/ 南投縣 / 男","79","-","77","2"
"107年 1月/ 南投縣 / 女","79","5","68","6"
"107年 1月/ 雲林縣 / 計","204","14","174","16"
"107年 1月/ 雲林縣 / 男","102","1","100","1"
"107年 1月/ 雲林縣 / 女","102","13","74","15"
"107年 1月/ 嘉義縣 / 計","162","9","144","9"
"107年 1月/ 嘉義縣 / 男","81","-","81","-"
"107年 1月/ 嘉義縣 / 女","81","9","63","9"
"107年 1月/ 屏東縣 / 計","314","14","285","15"
"107年 1月/ 屏東縣 / 男","157","1","156","-"
"107年 1月/ 屏東縣 / 女","157","13","129","15"
"107年 1月/ 臺東縣 / 計","82","3","72","7"
"107年 1月/ 臺東縣 / 男","41","-","41","-"
"107年 1月/ 臺東縣 / 女","41","3","31","7"
"107年 1月/ 花蓮縣 / 計","138","1","133","4"
"107年 1月/ 花蓮縣 / 男","69","-","69","-"
"107年 1月/ 花蓮縣 / 女","69","1","64","4"
"107年 1月/ 澎湖縣 / 計","32","1","30","1"
"107年 1月/ 澎湖縣 / 男","16","-","16","-"
"107年 1月/ 澎湖縣 / 女","16","1","14","1"
"107年 1月/ 基隆市 / 計","168","6","152","10"
"107年 1月/ 基隆市 / 男","84","1","83","-"
"107年 1月/ 基隆市 / 女","84","5","69","10"
"107年 1月/ 新竹市 / 計","148","4","136","8"
"107年 1月/ 新竹市 / 男","74","2","72","-"
"107年 1月/ 新竹市 / 女","74","2","64","8"
"107年 1月/ 嘉義市 / 計","88","4","81","3"
"107年 1月/ 嘉義市 / 男","44","1","43","-"
"107年 1月/ 嘉義市 / 女","44","3","38","3"
"107年 1月/ 金門縣 / 計","34","2","28","4"
"107年 1月/ 金門縣 / 男","17","-","17","-"
"107年 1月/ 金門縣 / 女","17","2","11","4"
"107年 1月/ 連江縣 / 計","6","-","6","-"
"107年 1月/ 連江縣 / 男","3","-","3","-"
"107年 1月/ 連江縣 / 女","3","-","3","-"

