月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園市,336,125,247,200,324,148,198,99,250,239,326,296
中壢市,281,125,227,163,331,158,220,118,246,279,272,243
平鎮市,159,73,113,106,148,112,112,60,124,136,152,170
八德市,145,60,104,100,160,72,100,51,110,125,113,122
楊梅市,113,38,97,61,109,59,67,42,108,116,115,83
大溪鎮,66,28,57,49,58,35,51,23,49,57,42,49
蘆竹鄉,96,62,81,91,103,61,74,57,76,78,102,105
大園鄉,68,30,49,31,55,32,43,19,53,44,51,49
龜山鄉,108,57,80,61,119,61,76,42,103,114,101,93
龍潭鄉,72,34,63,65,77,40,49,31,69,45,91,81
新屋鄉,30,9,19,10,21,20,16,8,17,28,30,24
觀音鄉,43,14,29,35,40,27,30,18,33,31,35,40
復興鄉,11,5,10,4,8,9,8,4,5,6,5,5
﻿月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園市,316,188,239,173,342,226,180,102,264,215,207,298
中壢市,270,151,219,189,348,248,176,134,258,224,181,311
平鎮市,149,85,118,103,178,133,116,70,149,120,110,169
八德市,140,90,106,97,161,102,96,59,125,99,84,165
楊梅市,113,69,74,71,122,93,75,49,111,93,73,125
大溪鎮,66,33,58,28,65,58,32,14,58,42,45,48
蘆竹市,124,60,98,67,116,78,49,52,88,86,76,110
大園鄉,66,35,40,37,65,46,35,19,43,34,42,51
龜山鄉,103,50,82,76,151,80,57,38,103,81,59,131
龍潭鄉,90,46,63,43,80,59,49,33,63,73,54,64
新屋鄉,31,12,20,12,31,22,22,7,23,28,21,23
觀音鄉,43,12,20,18,52,34,21,17,32,37,22,47
復興鄉,12,5,7,6,8,14,6,7,7,7,2,8
﻿月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,275,190,245,188,384,217,225,139,218,326,291,336
中壢區,286,196,231,188,344,227,235,158,155,339,276,350
大溪區,62,40,50,35,75,48,51,31,40,64,61,64
楊梅區,129,73,91,76,127,90,99,52,68,153,118,155
蘆竹區,117,82,110,77,156,83,95,47,73,128,104,127
大園區,61,36,48,38,73,43,39,28,31,67,49,61
龜山區,104,70,83,85,130,79,78,42,66,120,98,123
八德區,131,87,119,88,185,134,106,54,104,179,132,140
龍潭區,80,51,76,51,90,64,88,53,38,110,69,75
平鎮區,174,125,142,109,188,126,140,74,92,186,158,177
新屋區,29,25,20,22,35,20,22,20,15,26,28,37
觀音區,35,33,44,30,51,30,35,20,26,36,31,47
復興區,4,7,1,4,2,9,6,10,2,10,6,12
﻿月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,317,182,280,162,340,201,203,103,263,328,270,337
中壢區,308,179,234,178,311,199,198,132,234,272,240,323
大溪區,78,57,47,45,54,53,46,24,42,58,72,60
楊梅區,141,71,90,89,135,76,67,40,92,123,107,122
蘆竹區,126,57,101,66,115,82,86,52,86,127,97,128
大園區,61,32,39,30,63,47,31,20,64,71,57,56
龜山區,126,60,76,58,115,82,73,44,107,88,101,124
八德區,166,86,142,98,148,106,118,52,152,166,124,147
龍潭區,79,48,69,43,95,66,74,40,83,95,76,69
平鎮區,162,90,122,83,176,125,113,58,151,152,149,169
新屋區,37,14,27,22,38,21,16,15,28,35,28,37
觀音區,44,30,37,25,48,32,27,19,38,45,39,46
復興區,7,9,9,7,7,4,6,3,6,5,6,8
﻿月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,295,193,265,182,337,247,191,178,168,305,262,338
中壢區,261,169,257,202,291,216,209,146,176,266,214,335
大溪區,51,35,56,43,73,36,43,42,38,54,51,63
楊梅區,97,82,74,82,137,93,65,74,71,115,84,125
蘆竹區,114,64,90,80,119,90,57,61,63,113,80,127
大園區,67,41,40,53,61,52,46,28,31,59,52,58
龜山區,109,73,93,65,130,83,81,65,81,101,96,112
八德區,131,102,128,94,163,127,96,93,85,144,123,154
龍潭區,76,41,53,52,90,58,52,46,43,60,69,108
平鎮區,148,102,132,127,166,122,108,81,117,177,146,155
新屋區,26,16,20,17,19,24,15,17,17,30,24,31
觀音區,36,27,48,29,47,28,35,26,31,31,40,57
復興區,6,9,5,5,7,8,6,3,3,6,2,6
﻿月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,310,149,263,208,306,200,187,180,192,303,226,340
中壢區,287,183,237,183,283,199,197,167,175,303,232,295
大溪區,55,41,58,28,65,50,35,38,36,64,46,70
楊梅區,102,79,96,80,117,115,93,77,71,119,81,133
蘆竹區,125,77,95,74,115,73,66,57,73,102,89,109
大園區,61,32,55,41,62,51,37,40,34,56,48,81
龜山區,112,60,86,66,114,87,87,66,65,120,87,110
八德區,158,104,111,108,144,109,92,104,99,155,136,157
龍潭區,82,49,78,47,77,51,64,65,61,84,47,93
平鎮區,147,99,117,91,139,115,98,101,103,152,130,160
新屋區,32,12,26,17,31,23,22,16,14,44,30,31
觀音區,25,23,33,32,39,33,29,25,21,50,45,41
復興區,4,4,6,1,11,3,5,5,2,7,6,2﻿月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,305,202,240,177,272,221,184,109,222,251,223,268
中壢區,271,198,215,213,222,219,188,94,240,246,215,269
大溪區,54,46,40,37,64,58,38,20,47,74,46,48
楊梅區,103,69,91,71,95,99,81,41,89,115,98,121
蘆竹區,100,72,77,80,92,87,70,38,96,95,103,86
大園區,59,38,40,37,61,53,42,15,49,57,53,50
龜山區,100,64,80,75,86,85,82,46,102,92,80,91
八德區,138,98,114,104,133,122,108,57,108,121,105,130
龍潭區,75,52,67,78,72,49,74,26,76,69,73,83
平鎮區,151,97,110,115,144,132,127,55,115,138,138,150
新屋區,37,15,14,24,21,20,24,7,26,21,23,26
觀音區,45,21,38,31,43,32,29,14,45,31,32,40
復興區,11,4,8,5,6,8,6,5,8,6,7,4
﻿年索引,月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,年份
102年,桃園市,336,125,247,200,324,148,198,99,250,239,326,296,102
102年,中壢市,281,125,227,163,331,158,220,118,246,279,272,243,102
102年,平鎮市,159,73,113,106,148,112,112,60,124,136,152,170,102
102年,八德市,145,60,104,100,160,72,100,51,110,125,113,122,102
102年,楊梅市,113,38,97,61,109,59,67,42,108,116,115,83,102
102年,大溪鎮,66,28,57,49,58,35,51,23,49,57,42,49,102
102年,蘆竹鄉,96,62,81,91,103,61,74,57,76,78,102,105,102
102年,大園鄉,68,30,49,31,55,32,43,19,53,44,51,49,102
102年,龜山鄉,108,57,80,61,119,61,76,42,103,114,101,93,102
102年,龍潭鄉,72,34,63,65,77,40,49,31,69,45,91,81,102
102年,新屋鄉,30,9,19,10,21,20,16,8,17,28,30,24,102
102年,觀音鄉,43,14,29,35,40,27,30,18,33,31,35,40,102
102年,復興鄉,11,5,10,4,8,9,8,4,5,6,5,5,102
103年,桃園市,316,188,239,173,342,226,180,102,264,215,207,298,103
103年,中壢市,270,151,219,189,348,248,176,134,258,224,181,311,103
103年,平鎮市,149,85,118,103,178,133,116,70,149,120,110,169,103
103年,八德市,140,90,106,97,161,102,96,59,125,99,84,165,103
103年,楊梅市,113,69,74,71,122,93,75,49,111,93,73,125,103
103年,大溪鎮,66,33,58,28,65,58,32,14,58,42,45,48,103
103年,蘆竹市,124,60,98,67,116,78,49,52,88,86,76,110,103
103年,大園鄉,66,35,40,37,65,46,35,19,43,34,42,51,103
103年,龜山鄉,103,50,82,76,151,80,57,38,103,81,59,131,103
103年,龍潭鄉,90,46,63,43,80,59,49,33,63,73,54,64,103
103年,新屋鄉,31,12,20,12,31,22,22,7,23,28,21,23,103
103年,觀音鄉,43,12,20,18,52,34,21,17,32,37,22,47,103
103年,復興鄉,12,5,7,6,8,14,6,7,7,7,2,8,103
104年,桃園區,275,190,245,188,384,217,225,139,218,326,291,336,104
104年,中壢區,286,196,231,188,344,227,235,158,155,339,276,350,104
104年,大溪區,62,40,50,35,75,48,51,31,40,64,61,64,104
104年,楊梅區,129,73,91,76,127,90,99,52,68,153,118,155,104
104年,蘆竹區,117,82,110,77,156,83,95,47,73,128,104,127,104
104年,大園區,61,36,48,38,73,43,39,28,31,67,49,61,104
104年,龜山區,104,70,83,85,130,79,78,42,66,120,98,123,104
104年,八德區,131,87,119,88,185,134,106,54,104,179,132,140,104
104年,龍潭區,80,51,76,51,90,64,88,53,38,110,69,75,104
104年,平鎮區,174,125,142,109,188,126,140,74,92,186,158,177,104
104年,新屋區,29,25,20,22,35,20,22,20,15,26,28,37,104
104年,觀音區,35,33,44,30,51,30,35,20,26,36,31,47,104
104年,復興區,4,7,1,4,2,9,6,10,2,10,6,12,104
105年,桃園區,317,182,280,162,340,201,203,103,263,328,270,337,105
105年,中壢區,308,179,234,178,311,199,198,132,234,272,240,323,105
105年,大溪區,78,57,47,45,54,53,46,24,42,58,72,60,105
105年,楊梅區,141,71,90,89,135,76,67,40,92,123,107,122,105
105年,蘆竹區,126,57,101,66,115,82,86,52,86,127,97,128,105
105年,大園區,61,32,39,30,63,47,31,20,64,71,57,56,105
105年,龜山區,126,60,76,58,115,82,73,44,107,88,101,124,105
105年,八德區,166,86,142,98,148,106,118,52,152,166,124,147,105
105年,龍潭區,79,48,69,43,95,66,74,40,83,95,76,69,105
105年,平鎮區,162,90,122,83,176,125,113,58,151,152,149,169,105
105年,新屋區,37,14,27,22,38,21,16,15,28,35,28,37,105
105年,觀音區,44,30,37,25,48,32,27,19,38,45,39,46,105
105年,復興區,7,9,9,7,7,4,6,3,6,5,6,8,105
106年,桃園區,295,193,265,182,337,247,191,178,168,305,262,338,106
106年,中壢區,261,169,257,202,291,216,209,146,176,266,214,335,106
106年,大溪區,51,35,56,43,73,36,43,42,38,54,51,63,106
106年,楊梅區,97,82,74,82,137,93,65,74,71,115,84,125,106
106年,蘆竹區,114,64,90,80,119,90,57,61,63,113,80,127,106
106年,大園區,67,41,40,53,61,52,46,28,31,59,52,58,106
106年,龜山區,109,73,93,65,130,83,81,65,81,101,96,112,106
106年,八德區,131,102,128,94,163,127,96,93,85,144,123,154,106
106年,龍潭區,76,41,53,52,90,58,52,46,43,60,69,108,106
106年,平鎮區,148,102,132,127,166,122,108,81,117,177,146,155,106
106年,新屋區,26,16,20,17,19,24,15,17,17,30,24,31,106
106年,觀音區,36,27,48,29,47,28,35,26,31,31,40,57,106
106年,復興區,6,9,5,5,7,8,6,3,3,6,2,6,106
108年,桃園區,305,202,240,177,272,221,184,109,222,251,223,268,108
108年,中壢區,271,198,215,213,222,219,188,94,240,246,215,269,108
108年,大溪區,54,46,40,37,64,58,38,20,47,74,46,48,108
108年,楊梅區,103,69,91,71,95,99,81,41,89,115,98,121,108
108年,蘆竹區,100,72,77,80,92,87,70,38,96,95,103,86,108
108年,大園區,59,38,40,37,61,53,42,15,49,57,53,50,108
108年,龜山區,100,64,80,75,86,85,82,46,102,92,80,91,108
108年,八德區,138,98,114,104,133,122,108,57,108,121,105,130,108
108年,龍潭區,75,52,67,78,72,49,74,26,76,69,73,83,108
108年,平鎮區,151,97,110,115,144,132,127,55,115,138,138,150,108
108年,新屋區,37,15,14,24,21,20,24,7,26,21,23,26,108
108年,觀音區,45,21,38,31,43,32,29,14,45,31,32,40,108
108年,復興區,11,4,8,5,6,8,6,5,8,6,7,4,108
107年,桃園區,310,149,263,208,306,200,187,180,192,303,226,340,107
107年,中壢區,287,183,237,183,283,199,197,167,175,303,232,295,107
107年,大溪區,55,41,58,28,65,50,35,38,36,64,46,70,107
107年,楊梅區,102,79,96,80,117,115,93,77,71,119,81,133,107
107年,蘆竹區,125,77,95,74,115,73,66,57,73,102,89,109,107
107年,大園區,61,32,55,41,62,51,37,40,34,56,48,81,107
107年,龜山區,112,60,86,66,114,87,87,66,65,120,87,110,107
107年,八德區,158,104,111,108,144,109,92,104,99,155,136,157,107
107年,龍潭區,82,49,78,47,77,51,64,65,61,84,47,93,107
107年,平鎮區,147,99,117,91,139,115,98,101,103,152,130,160,107
107年,新屋區,32,12,26,17,31,23,22,16,14,44,30,31,107
107年,觀音區,25,23,33,32,39,33,29,25,21,50,45,41,107
107年,復興區,4,4,6,1,11,3,5,5,2,7,6,2,107
